id;registered_date;sex;age;postcode;family_members;family_ages;family_relation;residence_type;residence_rooms;open_spaces;work_previous;work_current;income;negative_economy;covid;covid_residence;physical_activity;valence;input_method
311;2020-04-03 10:12:26+02:00;male;26-35;29190.0;3+;66,66,40;parent,parent,sibling;house;;yard,balcony;student;other;0-1000;1;no;no;0-2;10.0;App
220;2020-04-02 17:39:21+02:00;fem;46-55;14550.0;3+;52,21,17;partner,child,child;house;;yard;employee;same;0-1000;0;no;no;4-6;20.0;App
306;2020-04-03 09:48:41+02:00;male;26-35;18213.0;3+;34,7,10,28;sibling,partner;house;;yard,balcony;employee;telework;1000-2000;1;no;no;2-4;10.0;App
61;2020-04-02 09:26:29+02:00;male;36-45;14550.0;2;34;partner;apartment;2;balcony;employee;suspended;1000-2000;1;no;no;2-4;30.0;App
365;2020-04-03 20:17:13+02:00;fem;46-55;28043.0;3;17,18;child,child;apartment;3;yard;employee;same;1000-2000;0;no;no;2-4;30.0;App
380;2020-04-04 08:44:33+02:00;fem;36-45;46120.0;3+;42,5,2;partner,child,child;house;;yard,balcony;employee;same;2000-3000;0;no;no;2-4;20.0;App
255;2020-04-02 21:03:39+02:00;fem;36-45;18015.0;3+;36,3,5;partner,child,child;apartment;3+;no;employee;same;1000-2000;0;no;no;0-2;40.0;App
368;2020-04-03 20:30:32+02:00;fem;26-35;18003.0;2;32;partner;apartment;3;no;employee;same;1000-2000;1;no;no;4-6;20.0;App
87;2020-04-02 11:35:38+02:00;male;26-35;13327.0;2;31;sibling;other;;yard,balcony;self;same;1000-2000;0;no;no;8+;50.0;App
57;2020-04-02 09:04:33+02:00;male;36-45;14550.0;1;;;apartment;;yard;self;same;1000-2000;1;no;no;6-8;30.0;App
385;2020-04-04 14:15:13+02:00;male;36-45;41009.0;2;30;partner;apartment;;yard,balcony;student;same;0-1000;0;no;no;6-8;20.0;App
114;2020-04-02 12:37:39+02:00;fem;36-45;11130.0;3;32,1;partner,child;house;;yard;employee;suspended;1000-2000;1;no;no;0-2;20.0;App
339;2020-04-03 13:53:54+02:00;male;46-55;14550.0;1;;;house;;yard,balcony;employee;telework;2000-3000;0;no;no;8+;40.0;App
31;2020-03-29 13:50:36+02:00;male;36-45;18008.0;2;41;;apartment;2;no;employee;same;2000-3000;0;no;no;4-6;40.0;Both
252;2020-04-02 20:33:06+02:00;fem;56-65;52005.0;3+;1,2,0;partner,child,parent;apartment;3+;balcony;employee;same;3000+;0;no;no;6-8;50.0;App
106;2020-04-02 12:12:04+02:00;male;46-55;18011.0;3+;1,4,0,0,0;partner,child,parent,parent,parent;house;;yard,balcony;employee;same;3000+;0;no;no;2-4;30.0;App
388;2020-04-04 15:45:36+02:00;fem;56-65;18193.0;1;;;house;;yard;employee;same;2000-3000;1;no;no;0-2;20.0;App
361;2020-04-03 17:54:23+02:00;male;36-45;41500.0;2;39;partner;apartment;3+;balcony;employee;same;2000-3000;0;no;no;0-2;30.0;App
27;2020-03-29 07:06:40+02:00;fem;46-55;18014.0;3+;51,11,12,14;;house;;yard,balcony;employee;telework;2000-3000;1;no;no;0-2;50.0;App
363;2020-04-03 18:39:26+02:00;male;26-35;7730.0;3;67,60;parent,parent;house;;yard,balcony;employee;same;1000-2000;0;no;no;4-6;30.0;App
382;2020-04-04 10:15:26+02:00;fem;46-55;18014.0;3+;43,13,12;parent,child,child;apartment;3;balcony;employee;telework;0-1000;1;no;no;0-2;30.0;App
436;2020-04-06 11:48:38+02:00;male;36-45;14840.0;2;68;;house;3+;yard,balcony;employee;same;1000-2000;1;no;no;2-4;48.0;App
658;2020-04-07 23:52:00+02:00;male;26-35;24004.0;1;;;apartment;1;no;employee;same;1000-2000;0;no;no;0-2;20.0;App
652;2020-04-07 23:33:19+02:00;fem;26-35;28002.0;3;24,66;sibling,parent;house;3;yard;self;same;0-1000;1;no;diagnosed;2-4;-10.0;App
734;2020-04-10 12:34:45+02:00;male;16-25;8902.0;3+;39,42,15;parent,parent,sibling;apartment;3;no;student;same;2000-3000;1;not_diagnosed;no;6-8;-50.0;App
730;2020-04-10 12:16:31+02:00;other;16-25;18300.0;3;60,56;parent,parent;apartment;3;yard,balcony;student;same;0-1000;1;no;no;6-8;40.0;App
749;2020-04-10 19:03:57+02:00;fem;46-55;6180.0;2;1;partner;house;3+;yard;employee;telework;1000-2000;1;no;no;0-2;30.0;App
597;2020-04-07 14:04:09+02:00;male;26-35;46021.0;3;65,63;;house;3+;balcony;unemployed;same;0-1000;0;no;no;0-2;-9.0;App
672;2020-04-08 10:03:04+02:00;fem;26-35;41005.0;2;32;partner;apartment;3;balcony;employee;telework;1000-2000;0;no;no;4-6;30.0;App
726;2020-04-10 12:12:25+02:00;male;46-55;48012.0;3+;48,12,17;partner,child,child;apartment;1;no;self;other;1000-2000;1;no;no;0-2;0.0;Both
742;2020-04-10 15:27:29+02:00;fem;36-45;48940.0;2;43;partner;apartment;2;no;unemployed;same;0-1000;1;no;no;0-2;-20.0;App
596;2020-04-08 18:11:41+02:00;fem;26-35;18004.0;2;31,32;;apartment;2;balcony;employee;same;1000-2000;0;no;no;4-6;-10.0;Both
533;2020-04-06 21:30:57+02:00;fem;36-45;14550.0;3+;8,10,44;;house;3+;yard;employee;telework;1000-2000;0;no;no;2-4;11.0;App
674;2020-04-08 10:24:00+02:00;male;16-25;41740.0;1;;;apartment;;no;employee;same;0-1000;1;no;no;0-2;0.0;Both
714;2020-04-09 13:42:08+02:00;fem;56-65;4004.0;3+;0,0,0;partner,child,child;apartment;3+;balcony;employee;same;1000-2000;1;no;no;0-2;0.0;Both
922;2020-04-12 20:18:03+02:00;male;46-55;33010.0;3;57,16;partner,child;apartment;3;yard;employee;same;1000-2000;0;no;no;0-2;0.0;App
1011;2020-04-13 11:18:11+02:00;fem;16-25;4007.0;3;53,52;parent,parent;apartment;3;balcony;student;increased;0-1000;0;no;no;0-2;0.0;App
812;2020-04-12 20:11:04+02:00;fem;36-45;49003.0;3+;1,1,1;parent,parent,partner;apartment;1;balcony;other;other;0-1000;0;no;no;4-6;50.0;Both
1055;2020-04-14 00:40:42+02:00;male;36-45;18004.0;1;;;apartment;1;no;employee;same;1000-2000;0;no;no;6-8;20.0;App
1067;2020-04-14 09:49:40+02:00;fem;26-35;7703.0;2;31;partner;apartment;3;no;employee;other;0-1000;1;no;no;2-4;40.0;App
782;2020-04-11 15:43:50+02:00;male;36-45;20170.0;3+;33,6,4;parent,child,child;apartment;3;balcony;employee;suspended;1000-2000;1;no;no;2-4;40.0;App
692;2020-04-08 17:06:13+02:00;fem;36-45;18193.0;3+;11,13,45;child,child,partner;house;3;yard,balcony;employee;same;1000-2000;0;no;no;2-4;30.0;Both
765;2020-04-11 05:00:34+02:00;male;36-45;18006.0;2;1;partner;apartment;2;balcony;self;telework;2000-3000;0;no;no;0-2;30.0;App
1132;2020-04-16 13:00:18+02:00;male;16-25;30151.0;3+;48,45,12,12;parent,parent,sibling,sibling;apartment;3+;balcony;student;same;0-1000;0;no;no;2-4;0.0;Both
759;2020-04-10 22:30:25+02:00;fem;46-55;18012.0;2;16;child;apartment;3;balcony;unemployed;same;0-1000;1;no;no;4-6;20.0;App
1129;2020-04-16 11:48:05+02:00;male;36-45;38005.0;3+;2,1,0;child,partner,parent;apartment;3;balcony;employee;same;1000-2000;0;no;no;2-4;20.0;Both
968;2020-04-12 21:35:18+02:00;male;46-55;35460.0;2;85;parent;apartment;2;other;employee;same;1000-2000;1;no;no;0-2;0.0;Both
1074;2020-04-14 10:41:44+02:00;fem;26-35;18009.0;3;3,0;any,parent;house;3;yard;employee;telework;1000-2000;0;no;no;8+;-50.0;Both
1007;2020-04-13 10:54:46+02:00;fem;16-25;4007.0;3+;56,56,22;parent,parent,sibling;house;3+;yard,balcony;employee;same;1000-2000;0;no;no;4-6;40.0;Both
1112;2020-04-15 18:17:51+02:00;male;36-45;18010.0;2;43;partner;house;3+;yard,balcony;employee;telework;2000-3000;0;no;no;6-8;30.0;Both
842;2020-04-12 20:12:27+02:00;fem;46-55;28008.0;3+;46,15,17;partner,child,child;house;3+;other;employee;same;2000-3000;0;no;no;0-2;40.0;Both
1163;2020-04-17 22:42:58+02:00;fem;26-35;52003.0;3+;2,1,0;parent,sibling,parent;house;3+;other;student;same;0-1000;0;no;no;0-2;30.0;Both
775;2020-04-11 14:03:28+02:00;male;26-35;22600.0;1;;;apartment;2;no;employee;fired;0-1000;1;no;no;2-4;-10.0;Both
1257;2020-04-28 15:29:12+02:00;male;26-35;23600.0;2;33;partner;house;;yard,balcony;self;telework;1000-2000;1;no;no;4-6;29.0;Both
1207;2020-04-25 23:35:44+02:00;fem;26-35;18004.0;2;1;partner;apartment;3+;other;employee;telework;0-1000;0;no;no;8+;31.0;Both
1291;2020-04-29 01:08:53+02:00;male;36-45;41710.0;3;7,4;child,child;house;3;balcony;employee;telework;2000-3000;0;no;no;8+;37.0;Both
694;2020-04-08 17:44:32+02:00;male;46-55;18197.0;3+;8,12,50;child,child,partner;house;3+;yard,balcony;employee;telework;2000-3000;0;no;no;4-6;30.0;App
5;2020-04-05 22:34:48+02:00;fem;36-45;11001.0;3;65,70;;apartment;3;yard,balcony;unemployed;same;0-1000;0;no;no;2-4;25.0;Both
